Desc_Resp_Cerrada,MARITAL_STATUS_CODE,EDAD,MODELO_ATENCION,FRECUENCIA_ENCUESTAS,VISITAS_CAJA,ESPERA_SEQ1
8,C,52,PREMIUM,2,2,3.5
7,C,48,PREMIUM,1,2,
7,C,60,NORMAL,1,1,6.06
10,D,62,NORMAL,2,1,11.06
6,C,50,RENTA_MASIVA,1,1,
10,C,69,PREMIUM,4,1,4.53
9,S,50,RENTA_MASIVA,1,1,
1,S,35,PREMIUM,4,1,28.38
10,S,49,NORMAL,2,1,16.85
10,C,37,PREMIUM,2,1,24.86
10,S,37,RENTA_MASIVA,1,3,4.03
6,C,43,NORMAL,2,1,10.55
10,C,66,RENTA_MASIVA,2,1,38.96
9,S,62,NORMAL,1,1,4.35
7,S,37,NORMAL,2,2,28.86
1,C,46,PREMIUM,3,1,1.86
9,S,53,PREMIUM,2,1,30.86
6,C,59,RENTA_MASIVA,1,1,23.98
10,C,59,EMPRESAS,3,2,3.4
8,C,59,PREMIUM,1,1,7.75
5,S,72,RENTA_MASIVA,1,1,26.28
10,D,65,PREMIUM,3,1,7.15
3,S,36,RENTA_MASIVA,1,1,61.83
2,S,41,RENTA_MASIVA,1,1,5.11
10,S,44,RENTA_MASIVA,1,2,16.6
9,C,46,NORMAL,2,1,
10,S,56,NORMAL,1,1,9.85
10,C,46,PREMIUM,2,1,1.36
8,S,61,RENTA_MASIVA,1,2,13.2
6,C,42,EMPRESAS,1,2,8
10,C,71,PREMIUM,3,3,5.55
4,C,52,PREMIUM,5,5,9.35
10,C,56,PREMIUM,1,1,9.31
6,S,45,RENTA_MASIVA,1,1,11.2
1,S,43,RENTA_MASIVA,1,1,25.61
10,S,71,PREMIUM,2,1,11.55
9,S,52,PREMIUM,1,1,19.28
5,C,41,NORMAL,2,1,13.11
5,S,32,NORMAL,1,1,0.95
9,S,52,RENTA_MASIVA,1,1,9.48
9,S,65,PREMIUM,3,5,3.53
1,S,48,PREMIUM,3,5,5.96
9,S,41,PREMIUM,1,2,31.08
7,C,65,RENTA_MASIVA,1,1,15.2
8,S,53,RENTA_MASIVA,1,1,16.93
9,S,44,PREMIUM,1,1,11.08
1,S,49,PREMIUM,1,3,24.41
10,S,56,NORMAL,1,1,
6,S,39,NORMAL,2,1,10.36
3,C,65,PREMIUM,6,1,7.71
9,C,78,NORMAL,1,2,19.35
10,C,48,RENTA_MASIVA,2,1,
9,C,47,PREMIUM,1,3,7.55
10,C,75,PREMIUM,3,2,8.96
2,S,48,NORMAL,1,1,
9,D,76,RENTA_MASIVA,1,1,20.83
1,S,37,RENTA_MASIVA,1,1,40.21
5,D,55,RENTA_MASIVA,1,1,
9,S,34,PREMIUM,3,2,
9,C,58,NORMAL,1,1,10.68
10,C,50,PREMIUM,1,1,9.28
10,S,50,PREMIUM,4,5,4.83
8,C,55,PREMIUM,1,1,
10,C,53,PREMIUM,1,1,10.35
8,C,57,PREMIUM,4,1,
5,C,43,NORMAL,1,1,25.76
8,S,42,NORMAL,1,2,0.06
8,S,36,EMPRESAS,1,4,4.41
4,S,39,RENTA_MASIVA,1,1,13.33
10,S,42,NORMAL,1,5,50.95
8,S,33,NORMAL,1,1,9.75
8,S,30,PREMIUM,2,1,8.13
10,C,54,PREMIUM,3,1,3.41
10,C,41,PREMIUM,5,3,
10,C,60,NORMAL,1,1,9.25
8,S,32,NORMAL,1,1,
4,C,55,NORMAL,1,1,18
9,S,44,PREMIUM,3,1,7.46
10,C,54,PREMIUM,1,3,
10,C,68,NORMAL,1,1,15.63
3,C,58,RENTA_MASIVA,1,1,72.71
5,S,30,NORMAL,1,1,15.45
9,C,52,PREMIUM,3,5,3.16
5,C,52,PREMIUM,1,1,32.4
10,C,62,NORMAL,1,1,
10,S,44,PREMIUM,3,3,
8,C,71,NORMAL,2,1,
10,S,41,EMPRESAS,3,1,
9,D,52,PREMIUM,2,4,3.75
9,C,78,PREMIUM,3,2,0.51
6,C,50,PREMIUM,1,2,6.43
7,S,35,RENTA_MASIVA,1,1,15.06
9,C,64,RENTA_MASIVA,1,1,27.23
10,S,34,RENTA_MASIVA,1,2,30.55
9,S,39,RENTA_MASIVA,1,1,0.43
10,C,50,PREMIUM,3,2,5.3
5,S,38,PREMIUM,4,1,4.1
10,S,38,PREMIUM,1,2,14.5
6,C,38,NORMAL,1,2,13
9,C,63,PREMIUM,5,2,3.78
3,S,62,NORMAL,2,1,27.75
10,C,56,PREMIUM,3,1,10.55
10,S,59,NORMAL,1,1,33.63
8,S,41,PREMIUM,3,1,
7,S,40,PREMIUM,5,3,3.58
10,S,35,PREMIUM,4,4,0.28
10,C,39,NORMAL,1,3,
8,C,63,PREMIUM,2,3,9.76
10,S,31,PREMIUM,3,1,
10,C,49,NORMAL,1,1,6.53
10,S,39,RENTA_MASIVA,2,1,
10,S,35,EMPRESAS,1,1,38.3
10,S,51,NORMAL,1,1,10.68
7,C,43,NORMAL,1,1,16
6,S,32,NORMAL,1,1,20.6
7,S,35,RENTA_MASIVA,1,1,
10,C,58,PREMIUM,1,1,
10,S,68,PREMIUM,2,1,6.61
10,S,47,PREMIUM,3,1,13.28
10,S,32,RENTA_MASIVA,1,1,14.3
2,C,60,PREMIUM,1,1,
7,C,55,EMPRESAS,3,1,4.23
8,C,53,PREMIUM,1,1,16.58
8,C,45,PREMIUM,1,3,
9,S,35,NORMAL,1,1,11.98
10,S,68,RENTA_MASIVA,1,2,14.5
10,C,58,PREMIUM,2,1,21.95
8,C,71,PREMIUM,1,1,
8,D,66,PREMIUM,1,1,9
