Desc_Resp_Cerrada,MARITAL_STATUS_CODE,EDAD,MODELO_ATENCION,FRECUENCIA_ENCUESTAS,VISITAS_CAJA,ESPERA_SEQ1
6,S,67,NORMAL,1,1,29.66
10,C,53,PREMIUM,3,1,2.03
10,C,60,PREMIUM,2,4,
2,S,42,NORMAL,1,1,33.86
1,C,53,NORMAL,2,1,10.3
10,S,45,EMPRESAS,1,1,3.21
7,S,53,RENTA_MASIVA,1,1,2.05
8,C,65,NORMAL,1,1,8.43
8,C,69,NORMAL,1,1,5.86
8,C,57,PREMIUM,1,2,9.96
10,S,55,RENTA_MASIVA,1,1,15.66
6,S,62,RENTA_MASIVA,1,1,37.16
8,C,68,NORMAL,1,1,1.21
5,C,56,RENTA_MASIVA,1,2,42.63
8,C,42,NORMAL,1,1,26.68
9,C,47,EMPRESAS,1,1,
9,S,39,PREMIUM,3,1,
10,C,68,PREMIUM,2,4,9.55
10,C,68,PREMIUM,2,1,
3,C,52,PREMIUM,1,1,37.88
10,C,52,PREMIUM,1,1,23.73
10,C,62,PREMIUM,1,2,8.06
8,C,58,NORMAL,2,1,11.46
9,C,65,PREMIUM,4,1,7.65
10,C,46,NORMAL,1,3,1.9
9,C,42,PREMIUM,1,1,
9,C,65,PREMIUM,3,1,4.93
8,C,53,PREMIUM,1,1,0.13
10,C,54,NORMAL,3,2,
8,C,78,NORMAL,1,2,
10,S,67,PREMIUM,3,1,6.05
10,S,56,RENTA_MASIVA,1,1,11.78
9,S,49,PREMIUM,1,2,9.56
6,S,50,RENTA_MASIVA,1,2,
8,C,44,NORMAL,1,1,
5,C,56,PREMIUM,1,1,13.2
10,C,45,PREMIUM,1,3,13
5,S,47,RENTA_MASIVA,2,1,2.63
10,S,43,PREMIUM,1,1,9.88
8,C,42,PREMIUM,2,1,8.8
1,S,40,RENTA_MASIVA,1,2,
7,S,46,PREMIUM,4,1,8.26
10,C,51,PREMIUM,2,1,2.91
6,C,49,RENTA_MASIVA,1,1,49.98
10,C,55,PREMIUM,3,6,13.55
10,S,41,PREMIUM,3,2,1.43
10,C,65,PREMIUM,1,1,
10,C,60,PREMIUM,2,1,2.53
8,S,35,NORMAL,1,2,15.9
1,S,66,RENTA_MASIVA,1,1,
10,S,52,PREMIUM,2,1,5.83
9,S,42,RENTA_MASIVA,1,1,39.6
10,S,36,EMPRESAS,1,9,2.73
8,C,56,NORMAL,1,1,41.93
10,C,65,PREMIUM,2,1,
10,C,69,PREMIUM,3,1,4.86
2,C,35,NORMAL,1,2,9.88
10,S,72,NORMAL,1,1,23.75
10,C,51,PREMIUM,3,4,3.75
10,C,40,NORMAL,1,1,3.08
8,C,53,NORMAL,1,1,9.28
9,V,64,PREMIUM,2,6,3.53
10,S,73,NORMAL,1,1,
9,S,43,PREMIUM,3,1,0.95
5,S,38,RENTA_MASIVA,2,2,2.23
7,C,61,PREMIUM,1,2,4.58
9,C,52,PREMIUM,1,1,9.43
7,S,54,NORMAL,1,1,5.01
5,S,36,RENTA_MASIVA,1,2,15.16
10,S,52,PREMIUM,2,1,9.45
4,S,38,NORMAL,1,1,32.2
5,C,60,RENTA_MASIVA,1,1,18.73
10,C,62,PREMIUM,2,1,
8,S,37,NORMAL,1,3,16.81
7,C,47,PREMIUM,2,1,6.43
9,S,37,PREMIUM,1,1,2.51
10,C,46,RENTA_MASIVA,1,1,12.48
9,C,45,PREMIUM,1,1,
8,S,39,PREMIUM,1,2,1.15
8,C,68,PREMIUM,2,1,4.91
10,S,44,PREMIUM,1,1,
8,C,74,PREMIUM,3,1,4.11
9,C,53,PREMIUM,1,1,4.15
9,C,73,PREMIUM,1,1,0.75
10,C,74,PREMIUM,4,2,34.73
10,C,55,PREMIUM,3,12,11.48
10,S,32,EMPRESAS,1,3,0.13
10,C,49,RENTA_MASIVA,1,1,
1,S,64,RENTA_MASIVA,1,1,2.4
9,S,43,NORMAL,2,1,4.95
8,S,47,NORMAL,1,1,35.55
10,S,47,PREMIUM,1,4,1.7
8,C,49,RENTA_MASIVA,1,1,3.58
9,S,60,RENTA_MASIVA,1,1,18.11
3,S,40,RENTA_MASIVA,1,1,30.61
10,S,31,EMPRESAS,1,3,
1,C,54,NORMAL,1,1,15.28
10,D,76,NORMAL,1,1,
10,S,39,NORMAL,1,3,6.2
8,S,40,RENTA_MASIVA,1,1,11.46
9,C,40,PREMIUM,1,3,8.65
10,C,53,RENTA_MASIVA,1,1,38.68
9,S,65,PREMIUM,1,1,
6,S,43,RENTA_MASIVA,2,1,0.08
8,S,46,PREMIUM,3,1,
8,C,35,PREMIUM,1,1,5.31
10,S,70,PREMIUM,1,3,8.11
10,C,48,RENTA_MASIVA,1,2,3.25
10,C,60,PREMIUM,1,1,2.88
9,S,41,NORMAL,1,1,16.05
9,D,53,RENTA_MASIVA,1,1,11.96
8,S,44,EMPRESAS,2,4,
10,C,72,NORMAL,2,1,
4,S,58,RENTA_MASIVA,2,5,4.48
7,C,55,PREMIUM,1,1,2.1
10,S,38,PREMIUM,3,4,6.83
10,C,48,PREMIUM,1,3,3.48
10,C,54,NORMAL,1,1,
9,S,53,RENTA_MASIVA,1,1,
10,C,42,NORMAL,1,1,
8,C,46,NORMAL,2,1,6.91
7,D,43,EMPRESAS,1,3,23.01
10,C,64,PREMIUM,3,1,3.5
9,C,61,PREMIUM,1,2,0.98
9,C,47,EMPRESAS,1,1,
8,S,33,EMPRESAS,1,4,0.65
10,C,63,PREMIUM,3,1,
8,C,58,PREMIUM,3,1,0.3
4,C,49,RENTA_MASIVA,1,2,
3,S,38,RENTA_MASIVA,1,1,53.2
9,C,63,PREMIUM,1,2,5.56
10,S,64,RENTA_MASIVA,1,1,17.4
1,S,42,PREMIUM,2,1,
10,S,50,RENTA_MASIVA,1,1,8.35
10,S,62,NORMAL,1,2,
10,C,60,NORMAL,1,1,0.05
10,C,47,NORMAL,1,1,0.06
6,S,41,PREMIUM,2,1,12.38
8,S,65,PREMIUM,3,2,12.26
6,S,42,RENTA_MASIVA,1,1,32.31
9,S,45,EMPRESAS,1,1,7.43
8,C,46,PREMIUM,1,4,1.31
9,C,58,PREMIUM,4,2,
3,S,56,PREMIUM,1,1,
10,S,47,NORMAL,1,1,
9,C,59,PREMIUM,3,1,0.18
10,C,46,PREMIUM,1,3,3.91
10,S,60,NORMAL,1,1,16.43
10,S,74,RENTA_MASIVA,1,1,9.63
9,S,70,PREMIUM,4,1,4.41
8,S,77,PREMIUM,1,2,5.38
10,C,50,NORMAL,1,2,14.23
10,S,50,PREMIUM,2,1,1.71
8,S,56,RENTA_MASIVA,1,1,36.08
5,S,57,NORMAL,1,1,26.56
9,S,59,PREMIUM,3,2,4.96
10,C,46,NORMAL,1,1,9.03
7,S,36,RENTA_MASIVA,1,1,19.46
8,S,36,PREMIUM,2,1,3.46
10,S,56,NORMAL,1,1,7.78
5,S,31,NORMAL,1,2,15.85
2,S,38,RENTA_MASIVA,1,1,74.11
5,C,44,PREMIUM,3,1,29.26
6,C,75,RENTA_MASIVA,1,1,10.96
10,S,31,PREMIUM,2,3,1.4
8,C,64,PREMIUM,3,1,
9,C,41,PREMIUM,3,1,
3,S,36,RENTA_MASIVA,2,1,31.35
10,D,68,NORMAL,1,1,6.88
8,C,41,PREMIUM,1,3,
10,S,53,PREMIUM,4,4,12.91
10,C,58,PREMIUM,1,1,3.13
8,S,38,RENTA_MASIVA,1,4,7.58
10,C,40,PREMIUM,2,2,3.13
9,C,46,PREMIUM,1,1,6.1
6,S,48,RENTA_MASIVA,1,1,20.2
9,S,67,RENTA_MASIVA,2,2,3.7
10,S,38,NORMAL,1,5,3.45
10,S,38,PREMIUM,2,1,3.13
8,C,40,PREMIUM,1,1,
10,C,52,NORMAL,1,1,22.81
3,S,32,NORMAL,1,2,46.38
6,S,50,RENTA_MASIVA,2,1,0.58
10,S,45,PREMIUM,2,1,8.06
4,S,50,PREMIUM,1,1,0.36
10,C,65,PREMIUM,2,1,1.58
8,S,35,PREMIUM,3,4,
8,D,42,NORMAL,1,2,4.18
10,C,60,PREMIUM,4,5,
8,S,54,NORMAL,1,1,
10,S,68,PREMIUM,2,10,4.03
1,S,31,RENTA_MASIVA,1,1,7.3
7,S,72,PREMIUM,1,1,13.43
10,S,40,PREMIUM,1,1,4.16
9,S,54,PREMIUM,1,1,3.06
10,C,52,PREMIUM,2,1,2.65
10,C,41,PREMIUM,3,1,5.01
2,S,45,NORMAL,2,4,9.36
10,C,75,PREMIUM,3,1,6.06
10,S,35,PREMIUM,3,5,29.6
9,C,50,PREMIUM,1,1,6.06
10,S,32,PREMIUM,4,1,
9,C,58,EMPRESAS,1,1,18.75
10,S,64,PREMIUM,2,1,7.45
10,V,66,EMPRESAS,1,2,11.58
10,S,48,RENTA_MASIVA,1,1,0.83
10,C,73,NORMAL,2,1,
4,C,55,NORMAL,1,1,38.95
9,C,57,PREMIUM,3,2,6.21
9,S,50,PREMIUM,2,1,3.4
10,C,40,NORMAL,1,1,30.08
5,C,35,RENTA_MASIVA,1,1,21.01
10,S,54,NORMAL,1,1,15.85
5,S,41,PREMIUM,4,2,17.43
9,S,63,RENTA_MASIVA,1,2,0.7
10,S,57,PREMIUM,2,1,9.33
10,S,64,PREMIUM,4,3,8.41
10,S,48,RENTA_MASIVA,1,1,15.05
8,C,56,PREMIUM,1,2,4.58
10,C,52,PREMIUM,1,1,3.31
8,C,65,PREMIUM,1,1,
10,C,51,PREMIUM,3,4,24.23
8,S,57,NORMAL,1,1,3.06
10,D,92,EMPRESAS,3,2,3.75
9,S,62,NORMAL,2,1,7.2
10,S,38,EMPRESAS,2,2,18.7
10,C,59,PREMIUM,2,1,11.68
8,C,50,PREMIUM,2,1,22.75
8,C,43,PREMIUM,3,2,
1,S,39,NORMAL,1,1,
6,S,59,NORMAL,1,1,26.46
5,S,38,RENTA_MASIVA,1,1,5.96
8,C,72,NORMAL,1,1,0.56
10,C,43,PREMIUM,4,4,5.53
1,S,46,NORMAL,1,1,47.96
10,C,47,PREMIUM,1,3,
10,S,55,PREMIUM,3,1,3.21
5,C,46,RENTA_MASIVA,1,1,
10,C,37,EMPRESAS,1,2,10.85
4,S,60,RENTA_MASIVA,1,1,
10,C,42,PREMIUM,2,1,2.95
10,S,39,NORMAL,1,2,8.85
7,S,30,EMPRESAS,1,5,0.58
9,S,38,NORMAL,1,1,11.88
5,C,42,NORMAL,1,1,
9,S,51,NORMAL,2,1,9.96
10,C,68,NORMAL,1,1,24.81
10,S,38,EMPRESAS,2,7,7.76
10,C,57,PREMIUM,1,1,
1,C,62,PREMIUM,3,1,
10,C,51,PREMIUM,1,1,0.53
9,S,51,PREMIUM,2,3,1.51
8,S,38,PREMIUM,1,1,6.03
5,S,36,RENTA_MASIVA,1,1,17.08
10,S,61,PREMIUM,2,2,9.83
8,C,57,PREMIUM,1,1,4.68
9,C,54,PREMIUM,2,1,11.16
10,S,46,PREMIUM,4,1,0.35
10,C,61,PREMIUM,4,2,0.35
3,D,61,NORMAL,1,1,27.11
10,C,46,PREMIUM,3,1,1.26
9,S,44,PREMIUM,2,1,0.3
10,S,55,NORMAL,1,1,14.15
9,D,51,PREMIUM,2,3,5.9
10,C,57,NORMAL,2,1,23.46
5,C,59,NORMAL,1,1,7.58
10,S,50,NORMAL,1,1,8.28
6,S,44,PREMIUM,1,3,8
4,C,41,NORMAL,1,1,32.06
10,V,68,PREMIUM,6,1,10.23
10,S,60,PREMIUM,3,5,10.21
8,C,52,PREMIUM,4,2,7.41
10,C,65,NORMAL,1,1,24.73
8,C,51,PREMIUM,1,1,20.13
10,C,73,PREMIUM,1,1,1.56
10,S,43,PREMIUM,4,1,4.56
10,C,67,PREMIUM,5,6,4.05
9,S,63,PREMIUM,2,1,2.06
10,S,58,RENTA_MASIVA,1,1,11.21
10,S,47,RENTA_MASIVA,2,1,2.66
10,S,71,PREMIUM,1,2,
6,S,38,RENTA_MASIVA,1,1,36.6
10,S,43,PREMIUM,2,1,11.33
5,C,61,NORMAL,1,1,6.3
8,S,42,NORMAL,1,1,30.13
8,C,64,NORMAL,1,1,
10,S,37,RENTA_MASIVA,1,1,6.93
1,C,56,PREMIUM,3,1,7.71
10,S,62,RENTA_MASIVA,1,1,17.61
9,C,51,PREMIUM,2,4,2.05
6,S,36,NORMAL,1,1,
6,C,54,NORMAL,2,1,26.55
8,C,67,NORMAL,2,1,
10,S,62,PREMIUM,1,1,5.8
7,C,45,EMPRESAS,1,6,2.36
9,S,63,PREMIUM,3,1,0.4
1,C,74,PREMIUM,2,1,
10,S,46,NORMAL,1,2,16.45
10,C,40,PREMIUM,2,2,6.6
10,S,59,RENTA_MASIVA,2,1,
1,S,36,NORMAL,1,1,32.06
7,S,39,RENTA_MASIVA,1,1,13.9
10,S,34,RENTA_MASIVA,1,2,22.06
5,S,65,NORMAL,2,1,7.26
10,D,47,PREMIUM,1,1,7.51
10,S,49,PREMIUM,4,1,
7,S,33,PREMIUM,5,6,4.4
2,D,62,NORMAL,3,1,4.66
1,S,40,RENTA_MASIVA,1,4,18.6
1,C,53,RENTA_MASIVA,1,1,46.5
8,C,58,PREMIUM,3,1,8.36
10,D,53,PREMIUM,1,2,
10,S,41,PREMIUM,2,3,18.78
7,S,41,PREMIUM,1,1,6.85
10,S,43,PREMIUM,3,1,4.4
10,S,35,RENTA_MASIVA,1,2,45.33
4,S,43,RENTA_MASIVA,1,1,
10,C,80,NORMAL,1,1,19.03
10,C,55,PREMIUM,4,2,2.75
10,C,49,EMPRESAS,1,1,3.71
1,C,61,RENTA_MASIVA,1,2,16.36
7,S,49,NORMAL,1,1,45.25
5,C,52,PREMIUM,1,2,3.43
10,C,60,PREMIUM,1,1,6.95
9,C,50,PREMIUM,5,1,4.65
10,C,43,PREMIUM,1,1,
10,S,40,PREMIUM,3,2,5.81
7,S,42,RENTA_MASIVA,1,1,12.43
9,S,46,PREMIUM,3,6,4.28
10,S,36,NORMAL,1,1,8.95
4,S,45,RENTA_MASIVA,1,1,29.73
10,D,62,PREMIUM,2,2,10.08
2,C,43,RENTA_MASIVA,1,1,
7,S,72,RENTA_MASIVA,1,1,4.9
8,S,39,EMPRESAS,1,2,4.11
8,S,32,NORMAL,1,1,
10,C,66,PREMIUM,1,1,
8,C,46,RENTA_MASIVA,1,1,20.01
10,S,38,NORMAL,1,1,
4,S,59,NORMAL,1,1,18.35
5,C,42,PREMIUM,1,1,4.58
9,C,59,EMPRESAS,1,2,
10,S,61,PREMIUM,2,1,7.38
9,S,52,PREMIUM,1,1,11.33
9,C,63,NORMAL,2,1,
10,V,59,PREMIUM,4,5,2.43
1,S,39,RENTA_MASIVA,1,1,0.46
6,S,53,RENTA_MASIVA,1,1,15.23
10,S,42,PREMIUM,1,1,
10,S,52,RENTA_MASIVA,1,1,13.58
7,C,57,NORMAL,1,1,29.88
9,C,47,EMPRESAS,1,5,31.73
10,S,29,RENTA_MASIVA,1,1,
1,D,75,NORMAL,1,1,
10,C,52,PREMIUM,3,3,
9,S,38,RENTA_MASIVA,2,1,9.3
10,C,46,NORMAL,1,1,4.51
8,D,50,PREMIUM,2,1,
7,S,35,RENTA_MASIVA,1,1,
10,S,65,PREMIUM,2,3,14.3
8,C,60,PREMIUM,2,1,6.33
8,C,54,PREMIUM,1,1,
10,C,68,PREMIUM,1,1,4.78
10,S,37,NORMAL,1,2,5.7
10,S,37,RENTA_MASIVA,2,1,3.78
5,D,47,NORMAL,1,1,14.8
10,C,62,PREMIUM,2,1,
10,S,45,EMPRESAS,1,2,3.68
10,C,55,PREMIUM,5,3,1.05
9,S,30,NORMAL,1,2,30.83
8,C,43,PREMIUM,3,1,0.81
9,S,40,PREMIUM,1,1,7.51
9,C,48,PREMIUM,1,2,11.55
1,V,53,PREMIUM,3,5,22.08
1,C,55,RENTA_MASIVA,1,2,15.65
6,D,54,RENTA_MASIVA,1,1,
10,S,44,NORMAL,1,1,35.21
10,C,62,PREMIUM,3,2,8.73
10,V,64,PREMIUM,4,1,1.43
5,S,44,NORMAL,1,1,0.95
10,C,75,PREMIUM,4,2,16.36
3,S,40,RENTA_MASIVA,2,1,
10,S,44,PREMIUM,1,1,9.06
10,C,54,NORMAL,1,1,6.38
10,S,38,NORMAL,1,1,9.3
10,S,30,RENTA_MASIVA,1,2,4.65
10,S,48,NORMAL,1,2,1.21
9,S,39,PREMIUM,2,3,2.81
9,D,65,PREMIUM,3,1,3.21
7,C,46,PREMIUM,1,1,9.88
10,S,55,PREMIUM,1,2,
10,C,62,PREMIUM,2,2,
10,S,63,PREMIUM,1,4,
10,C,53,PREMIUM,1,1,
8,C,47,PREMIUM,1,1,1.93
10,C,62,PREMIUM,2,2,0.68
4,S,36,PREMIUM,1,1,18.83
9,S,40,NORMAL,1,1,11.01
10,C,66,PREMIUM,4,1,5.5
7,S,46,RENTA_MASIVA,1,1,24.51
8,C,38,PREMIUM,1,2,36.11
7,S,53,PREMIUM,1,1,6
8,C,52,RENTA_MASIVA,1,1,14.75
10,C,71,RENTA_MASIVA,1,1,8.93
6,C,57,NORMAL,1,1,72.31
8,C,59,PREMIUM,3,2,20.68
10,C,61,PREMIUM,2,4,0.68
10,S,38,EMPRESAS,2,2,
8,S,40,EMPRESAS,1,1,
8,C,61,PREMIUM,2,1,5.01
10,C,54,PREMIUM,1,2,6.93
8,C,58,PREMIUM,1,1,0.15
7,S,31,RENTA_MASIVA,1,1,15.95
8,S,33,PREMIUM,1,3,3.4
9,S,51,NORMAL,1,1,56.4
6,C,48,EMPRESAS,1,3,8.36
7,S,67,RENTA_MASIVA,1,1,22.16
9,C,50,EMPRESAS,1,1,5.73
10,C,58,PREMIUM,2,1,5.35
9,S,46,PREMIUM,1,4,6.13
5,S,39,PREMIUM,1,1,8.08
10,S,44,PREMIUM,1,1,7.33
8,S,56,NORMAL,1,3,
10,C,44,PREMIUM,1,1,5.75
1,S,42,NORMAL,1,2,
8,C,59,PREMIUM,1,1,
10,S,33,PREMIUM,1,2,4.95
10,S,47,NORMAL,1,2,
10,C,50,PREMIUM,5,9,5.08
10,C,45,NORMAL,2,1,19.96
2,S,40,NORMAL,1,1,
10,C,53,EMPRESAS,2,3,0.15
3,S,39,NORMAL,1,1,9.5
10,V,64,PREMIUM,1,2,0.1
7,C,44,PREMIUM,2,1,1.43
10,C,62,NORMAL,1,1,8.8
4,C,60,NORMAL,1,1,
9,S,38,NORMAL,1,1,5.1
10,C,42,EMPRESAS,1,4,
8,C,46,PREMIUM,1,1,6.65
8,C,40,PREMIUM,3,1,
3,S,42,NORMAL,1,1,11.98
8,S,39,EMPRESAS,1,2,23.66
6,C,46,EMPRESAS,1,5,4.3
8,S,56,RENTA_MASIVA,1,1,30.5
8,S,51,RENTA_MASIVA,1,1,35.88
9,S,41,PREMIUM,4,2,9.91
10,C,66,PREMIUM,4,1,0.6
9,C,62,PREMIUM,2,1,30.85
9,C,54,PREMIUM,3,3,12.75
10,D,58,PREMIUM,5,1,22.26
8,C,64,NORMAL,1,1,17.38
6,S,49,NORMAL,1,1,34.05
10,S,32,PREMIUM,1,1,3.51
8,S,38,RENTA_MASIVA,1,2,45.51
10,C,63,RENTA_MASIVA,1,1,9.16
1,S,34,PREMIUM,1,2,7.75
9,V,56,PREMIUM,1,1,7.43
9,C,37,RENTA_MASIVA,3,1,8.71
10,S,71,PREMIUM,2,3,12.25
9,C,47,PREMIUM,1,1,16.35
9,S,36,RENTA_MASIVA,1,2,15.56
10,C,42,PREMIUM,1,1,0.58
9,C,53,PREMIUM,2,2,4.75
10,S,48,PREMIUM,2,1,8.15
5,S,40,PREMIUM,1,2,4.38
1,C,51,PREMIUM,1,1,7.2
10,C,57,PREMIUM,1,3,1.43
9,C,58,PREMIUM,2,2,0.75
10,S,50,RENTA_MASIVA,1,1,
10,C,69,NORMAL,1,1,
10,S,50,PREMIUM,1,2,
10,S,48,NORMAL,1,1,11.81
9,C,55,NORMAL,1,1,26.91
7,S,39,PREMIUM,3,1,13.63
5,S,33,PREMIUM,2,2,7.65
10,S,47,PREMIUM,1,2,
8,C,51,PREMIUM,1,1,5.73
10,C,62,PREMIUM,2,1,13.23
9,S,66,NORMAL,1,3,
10,C,40,EMPRESAS,2,3,42.5
10,C,73,PREMIUM,3,1,4.7
10,S,60,RENTA_MASIVA,1,1,15.51
9,S,61,RENTA_MASIVA,1,1,1.38
10,C,63,PREMIUM,1,3,4.3
10,C,49,PREMIUM,1,1,
7,S,43,EMPRESAS,1,1,13.41
10,S,68,NORMAL,1,1,
9,C,43,PREMIUM,4,7,4.1
9,C,71,PREMIUM,3,3,5.86
10,C,51,PREMIUM,2,1,46.45
3,S,44,RENTA_MASIVA,1,1,
10,S,40,PREMIUM,1,3,11.98
10,C,55,PREMIUM,4,3,3.46
10,C,75,PREMIUM,3,1,2.5
9,C,44,NORMAL,1,1,
9,S,42,RENTA_MASIVA,1,1,0.7
10,C,54,EMPRESAS,2,2,10.16
1,S,42,NORMAL,1,1,13.36
10,C,44,NORMAL,1,2,17.88
2,C,44,PREMIUM,1,1,18.25
9,C,44,PREMIUM,2,2,9.75
10,C,45,PREMIUM,3,14,5.16
9,S,41,NORMAL,2,1,
2,S,53,RENTA_MASIVA,1,2,
8,S,40,PREMIUM,1,1,
9,D,71,PREMIUM,4,2,5.38
8,S,57,RENTA_MASIVA,1,1,2.21
8,C,39,NORMAL,1,2,4.03
10,S,64,PREMIUM,1,3,3.26
10,S,36,PREMIUM,2,1,3.56
7,S,78,PREMIUM,1,1,5.53
10,C,36,PREMIUM,1,4,1
1,S,34,NORMAL,1,1,3.51
8,S,41,PREMIUM,2,1,4.61
7,S,47,NORMAL,1,1,29.08
9,C,59,PREMIUM,4,2,
9,S,38,PREMIUM,1,2,
10,S,36,PREMIUM,3,2,4.63
7,S,39,RENTA_MASIVA,1,1,6.13
10,S,42,NORMAL,1,1,
10,S,39,PREMIUM,3,1,
10,S,72,NORMAL,1,1,3.21
10,C,70,PREMIUM,3,1,0.06
8,C,47,PREMIUM,1,1,0.83
10,C,51,PREMIUM,2,1,9.4
10,C,47,PREMIUM,4,2,3.18
9,S,35,NORMAL,2,1,0.73
10,S,42,PREMIUM,2,1,
10,C,57,RENTA_MASIVA,1,1,22.76
4,C,39,PREMIUM,1,2,1.88
6,S,49,NORMAL,1,1,17.3
10,S,64,PREMIUM,3,1,47.33
7,C,42,PREMIUM,1,3,4
10,S,42,NORMAL,1,4,
8,C,53,PREMIUM,1,1,2.33
6,S,50,PREMIUM,2,2,5.55
10,S,57,PREMIUM,1,1,4.05
10,S,62,NORMAL,2,3,27.6
5,C,46,PREMIUM,3,1,12.7
3,S,47,RENTA_MASIVA,1,1,22.68
10,S,71,PREMIUM,1,1,6.35
1,S,38,RENTA_MASIVA,2,1,22.81
10,V,77,RENTA_MASIVA,1,1,10.9
10,C,41,PREMIUM,3,3,4.35
9,S,48,PREMIUM,1,1,5.56
9,C,56,RENTA_MASIVA,1,2,19.96
9,C,57,PREMIUM,3,1,6.78
8,C,49,RENTA_MASIVA,1,1,
10,S,36,NORMAL,1,2,
8,S,40,RENTA_MASIVA,1,3,
10,C,38,PREMIUM,3,1,7.9
10,S,60,NORMAL,1,1,11.05
8,C,54,PREMIUM,2,1,10.18
10,S,36,RENTA_MASIVA,1,1,14
10,C,72,PREMIUM,4,2,
8,C,64,PREMIUM,2,1,5.2
10,C,75,PREMIUM,3,3,11.01
8,S,37,RENTA_MASIVA,1,2,3.2
2,C,42,RENTA_MASIVA,2,1,36.6
10,S,41,NORMAL,1,1,2.5
10,S,36,RENTA_MASIVA,1,2,78.13
8,D,36,RENTA_MASIVA,1,3,1.08
1,S,35,RENTA_MASIVA,1,1,102.06
10,C,57,PREMIUM,4,1,2.63
5,C,52,NORMAL,1,1,31.73
5,S,36,RENTA_MASIVA,1,1,60.78
10,S,35,PREMIUM,2,2,1
7,S,33,NORMAL,1,1,30.5
10,C,59,RENTA_MASIVA,1,1,22.96
10,C,64,PREMIUM,3,1,3.06
9,C,56,NORMAL,1,1,
7,S,41,RENTA_MASIVA,1,1,
8,S,46,EMPRESAS,2,1,2.6
10,C,48,NORMAL,1,1,5.01
3,S,47,RENTA_MASIVA,1,1,29.35
10,C,65,NORMAL,2,2,4.6
10,C,68,PREMIUM,1,1,1.88
8,S,46,NORMAL,1,1,28.43
9,C,41,PREMIUM,3,1,13.75
9,S,38,RENTA_MASIVA,1,1,17.46
10,S,43,RENTA_MASIVA,1,2,21.7
8,C,70,PREMIUM,2,1,
10,S,42,RENTA_MASIVA,1,1,14.81
9,C,65,EMPRESAS,1,2,20.03
9,C,38,RENTA_MASIVA,1,2,8.53
10,S,36,NORMAL,1,1,10.78
8,C,49,NORMAL,1,1,19.85
10,S,38,PREMIUM,1,1,6.25
10,C,68,PREMIUM,5,1,0.36
10,C,37,PREMIUM,2,2,10.78
5,S,39,RENTA_MASIVA,1,1,22.66
10,C,69,NORMAL,1,1,6.93
9,S,40,NORMAL,1,1,
10,C,62,PREMIUM,1,1,3.7
4,S,40,PREMIUM,2,4,7.76
8,S,36,NORMAL,2,1,1.08
8,S,35,RENTA_MASIVA,1,1,21.03
7,C,52,PREMIUM,2,1,
3,C,45,RENTA_MASIVA,1,2,
6,C,62,PREMIUM,3,2,3.98
4,S,54,RENTA_MASIVA,1,1,
8,S,52,RENTA_MASIVA,2,2,
10,S,38,PREMIUM,3,2,21.73
9,C,54,PREMIUM,3,1,8.43
10,C,62,PREMIUM,5,1,
9,S,34,NORMAL,1,1,
9,S,40,PREMIUM,1,1,
9,S,48,PREMIUM,1,1,7.23
8,C,70,PREMIUM,4,1,9.26
2,C,52,RENTA_MASIVA,2,1,61.6
10,S,37,PREMIUM,2,3,3.1
10,C,44,PREMIUM,2,1,35.28
9,C,52,PREMIUM,5,1,6.3
5,S,44,RENTA_MASIVA,1,1,
1,S,52,EMPRESAS,1,2,11.63
10,S,52,RENTA_MASIVA,1,2,23.15
8,C,46,PREMIUM,2,1,
10,S,75,NORMAL,1,1,8.2
9,S,50,NORMAL,1,2,1.91
8,C,45,PREMIUM,3,3,7.11
7,S,49,NORMAL,1,1,1.45
10,C,66,PREMIUM,5,1,27.66
10,C,55,PREMIUM,1,1,
7,S,35,NORMAL,1,1,8.71
10,S,46,PREMIUM,2,17,2.55
9,C,50,PREMIUM,2,2,0.55
8,S,35,PREMIUM,2,1,9.28
9,C,50,PREMIUM,4,1,
9,S,40,NORMAL,1,2,48.45
5,S,40,PREMIUM,4,1,11.15
3,C,50,RENTA_MASIVA,1,1,51.05
9,S,39,PREMIUM,2,2,
10,S,36,RENTA_MASIVA,1,1,6.66
8,C,73,PREMIUM,2,1,4.55
7,C,49,PREMIUM,2,1,7.11
8,S,40,RENTA_MASIVA,1,1,14.33
8,C,70,PREMIUM,2,2,7.21
10,C,63,PREMIUM,2,1,24.06
10,S,48,PREMIUM,4,1,24.11
10,D,57,PREMIUM,1,1,8.66
10,S,61,RENTA_MASIVA,1,1,20.51
6,S,32,RENTA_MASIVA,1,2,
1,C,47,NORMAL,2,2,10.85
10,S,36,NORMAL,1,1,2.75
6,C,58,PREMIUM,3,1,4.61
6,S,35,PREMIUM,1,1,16.43
9,C,39,PREMIUM,1,1,
10,C,61,PREMIUM,6,2,5.56
7,C,74,EMPRESAS,2,1,7.93
4,S,38,NORMAL,1,2,
10,S,61,PREMIUM,1,1,17.21
10,S,31,PREMIUM,1,3,6.26
7,S,30,RENTA_MASIVA,1,1,4.43
9,C,49,PREMIUM,2,1,21.23
7,S,40,NORMAL,1,1,18.71
8,S,31,PREMIUM,1,2,
1,C,59,NORMAL,1,2,18.11
10,S,67,PREMIUM,2,1,
9,S,42,PREMIUM,1,1,8.11
9,C,57,PREMIUM,2,2,15.35
9,C,38,PREMIUM,1,2,5.9
