id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,price_period,title
yd407+bLDJARPLBJfraEnQ==,Propiedad,2019-10-13,2019-10-13,2019-10-13,-37.9796162,-57.5861351,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,1.0,1.0,1.0,,30.0,40000.0,Mensual,PH A LA CALLE
yd565NdYeWQgqG9ULNwMuQ==,Propiedad,2019-09-02,9999-12-31,2019-09-02,-34.5109201,-58.532480799999995,Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,Villa Adelina,,,,,,,,145000.0,Mensual,Se Vende PH de 3/4 Ambientes en Villa Adelina en Planta Alta. OPORTUNIDAD
yd6Ios5g1CgMkysajfetyg==,Propiedad,2019-11-09,2019-11-09,2019-11-09,-34.64025770000001,-58.42970379999999,Argentina,Capital Federal,Parque Chacabuco,,,,4.0,3.0,3.0,113.0,94.0,235000.0,Mensual,Venta PH 4 ambientes Parque Chacabuco
yd8UBNZCP7K/edCradlVyg==,Propiedad,2019-12-16,2020-02-26,2019-12-16,-37.979980499999996,-57.54932120000001,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,1.0,,,75000.0,,PH 3 AMB. AL FRENTE CON COCHERA
ydSrRA3z+6M0Vf/faRIVOA==,Propiedad,2020-01-15,2020-02-02,2020-01-15,-34.639962,-58.503043999999996,Argentina,Capital Federal,Villa Luro,,,,4.0,3.0,2.0,349.0,159.0,270000.0,,VENTA EXCELENTE CASA  CON AMPLIO FONDO VILLA LURO
yddydSVr+C2A5GVCFLuP/A==,Propiedad,2019-09-19,9999-12-31,2019-09-19,-34.6610756,-58.3669739,Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Avellaneda,,,3.0,,1.0,53.0,50.0,60000.0,Mensual,Venta de Departamento tipo casa ph en Sarandí (25476)
ye9HKgxGyupMAK9VYvGZvw==,Propiedad,2020-04-16,2020-04-17,2020-04-16,-37.958014,-57.568648100000004,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,5.0,4.0,2.0,,,99000.0,,Constitución. PH en planta alta.
yeUKrEd1gati4FlE/kOB9Q==,Propiedad,2020-02-15,9999-12-31,2020-02-15,-34.67728820000001,-58.67382190000001,Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,Ituzaingó,,,3.0,2.0,1.0,70.0,70.0,70000.0,Mensual,PH - Ituzaingó Sur
yefdq3K8FhxcrQuEplb7tA==,Propiedad,2020-01-27,9999-12-31,2020-01-27,-40.149264,-71.3473286,Argentina,Neuquén,Lácar,,,,3.0,2.0,1.0,124.0,47.0,87000.0,,Cabaña PH LOS HELECHOS
yf+wvKDCMlBhjTIbI7i7Lw==,Propiedad,2019-09-06,2020-02-18,2019-09-06,-37.9982301,-57.5771468,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,2.0,1.0,1.0,45.0,45.0,77900.0,,PH 2 AMBIENTES EN PRIMER PISO A LA CALLE CON COCHERA
yf2YSEj6trEmnaB86X/jOw==,Propiedad,2019-12-17,2020-01-09,2019-12-17,-34.626333,-58.486349,Argentina,Capital Federal,Floresta,,,,3.0,2.0,1.0,93.0,70.0,105000.0,,PH VENTA 3/4 AMB C TERRAZA FLORESTA
yfCGBLJ/tBLmYKW9WGm9fw==,Propiedad,2019-04-03,9999-12-31,2019-04-03,-38.01249489999999,-57.543554,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,1.0,53.0,53.0,98000.0,,Venta PH 3 ambientes apto Crédito
yfGcVh0WD4Mu4vfyV/lIjg==,Propiedad,2020-02-25,9999-12-31,2020-02-25,-31.3298558,-64.2257279,Argentina,Córdoba,Córdoba,,,,3.0,,3.0,,177.0,170000.0,,CHACRAS DEL NORTE DUPLEX EXC CALIDAD Y TERMINACIONES
yfUXL+bvR/A7SuNnMJMhow==,Propiedad,2020-04-02,9999-12-31,2020-04-02,-34.644866799999996,-58.662031000000006,Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,,,,,3.0,1.0,80.0,140.0,130000.0,,Ituzaingo Norte - Ph De 4 Amb Cercano A Autopista
yfXzKmSVXSPjEiuAFWNhDQ==,Propiedad,2019-10-12,2019-10-14,2019-10-12,-34.5975686344,-58.4254010459,Argentina,Capital Federal,Villa Crespo,,,,4.0,3.0,2.0,95.0,95.0,262000.0,,Depto.tipo casa de 4 ambientes en Venta en Villa crespo
yftjzC7so6VzRUNcgtrAvw==,Propiedad,2019-11-22,9999-12-31,2019-11-22,-38.0250342,-57.5632831,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,2.0,1.0,1.0,39.0,36.0,36000.0,,PH
yfvVk+F0Q30/7lBaJ1qqzw==,Propiedad,2019-10-24,9999-12-31,2019-10-24,-31.480092100000004,-64.168373,Argentina,Córdoba,,,,,,,2.0,161.0,161.0,215000.0,Mensual,PH - Cordoba Capital
ygLOEDbfOf4J7lE3xrHdWA==,Propiedad,2019-11-09,2019-11-09,2019-11-09,-34.5828255,-58.438911600000004,Argentina,Capital Federal,Palermo,Palermo Hollywood,,,3.0,2.0,2.0,125.0,75.0,260000.0,Mensual,PH 3 ambientes al Cfte. Patio. 2 Terrazas. Super luminoso!
ygcyrfnL03XJpXg3XEVdEw==,Propiedad,2020-02-11,2020-02-13,2020-02-11,-34.6097156,-58.4433275,Argentina,Capital Federal,Caballito,,,,4.0,3.0,2.0,114.0,114.0,275000.0,,Depto.tipo casa de 4 ambientes en Venta en Cid campeador
ygq0fzsq8ZdL5eFRYXY1sg==,Propiedad,2019-12-20,2020-01-21,2019-12-20,-31.448791999999997,-64.208286,Argentina,Córdoba,Córdoba,,,,3.0,3.0,2.0,236.0,150.0,100000.0,,DUPLEX 2 HAB. CON DEPARTAMENTO 1 HAB.
ygvoOSyqW0ldWEXJnGCvUQ==,Propiedad,2020-02-25,2020-03-30,2020-02-25,-31.463288899999995,-64.26430690000001,Argentina,Córdoba,Córdoba,,,,3.0,,3.0,,123.0,200000.0,,MIRADORES DE MANANTIALES - 3 DORMITORIOS - 3 BAñOS - CALIDAD SUPERIOR
ygzdK3n3GyCZeH00kGSfJQ==,Propiedad,2019-07-25,9999-12-31,2019-07-25,-34.6434989,-58.4726652,Argentina,Capital Federal,Parque Avellaneda,,,,2.0,,1.0,46.0,46.0,98000.0,Mensual,PH - P.Avellaneda
yh0ylSgs3ksfLJbOXZFaLQ==,Propiedad,2019-08-29,9999-12-31,2019-08-29,-34.698485299999994,-58.390757799999996,Argentina,Bs.As. G.B.A. Zona Sur,Lanús,Lanús,,,3.0,,,,,140000.0,Mensual,PH - Lanús Oeste
yhdLajx8nMaAlXSLu1H9dg==,Propiedad,2019-04-21,9999-12-31,2019-04-21,-34.9072305,-54.9684876,Uruguay,Maldonado,,,,,4.0,3.0,2.0,800.0,200.0,270000.0,Mensual,PH EN VENTA
yi4rHbcQi8EOjA1uEzUSTw==,Propiedad,2019-10-22,9999-12-31,2019-10-22,-34.6250394,-58.4422434,Argentina,Capital Federal,Caballito,,,,8.0,,3.0,473.0,352.0,760000.0,Mensual,Imponente PH de estilo sin expensas en el corazón de Caballito
yiFPecrqyTt7ydStKX9GJA==,Propiedad,2020-04-10,9999-12-31,2020-04-10,-34.6837628547,-58.393679847600005,Argentina,Bs.As. G.B.A. Zona Sur,Lanús,,,,3.0,2.0,1.0,,,95000.0,,Casa PH en Venta Cond en Lanus Oeste
yiZ8Dg0BF0ZLk46BSXUWkQ==,Propiedad,2019-08-10,9999-12-31,2019-08-10,-34.5529086,-58.568250899999995,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,,,3.0,2.0,1.0,70.0,70.0,80000.0,,Depto T/casa de 3 ambientes
yiqsjbPpVlXC1xCzfH1pfg==,Propiedad,2020-03-17,9999-12-31,2020-03-17,-37.989427500000005,-57.56703420000001,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,2.0,,,89500.0,,DUPLEX / PH 3 AMB. BARRIO DON BOSCO
yj10gUWjSmlo24M+9J4Rkg==,Propiedad,2019-11-03,2019-11-17,2019-11-03,-34.607169,-58.467006999999995,Argentina,Capital Federal,Villa General Mitre,,,,2.0,1.0,2.0,52.0,52.0,105000.0,,Depto.tipo casa de 2 ambientes en Venta en Villa gral.mitre
yjMhCg56pxV4tGyZW/TAwQ==,Propiedad,2019-12-18,9999-12-31,2019-12-18,-32.947304502600005,-68.747256602,Argentina,Capital Federal,,,,,,4.0,1.0,,,68000.0,,Casa de cuatro dormitorios.Un baño. Jardín y Cochera
yjVgjX944kmbQuWW3O7Qcw==,Propiedad,2020-02-04,9999-12-31,2020-02-04,-34.703005,-58.327757999999996,Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Wilde,,,4.0,3.0,1.0,200.0,155.0,168000.0,,VENTA PH EN DOS PLANTAS CON COCHERA Y PATIO WILDE
yjtSTnBMGN2mxRUIWRvvvQ==,Propiedad,2019-04-24,9999-12-31,2019-04-24,-34.9154351,-56.16044889999999,Uruguay,Montevideo,,,,,1.0,0.0,1.0,30.0,30.0,105000.0,Mensual,PH EN VENTA
yk3oKZ0v0oAaFVuhFhtl5Q==,Propiedad,2019-12-16,9999-12-31,2019-12-16,,,Argentina,Capital Federal,,,,,5.0,2.0,1.0,,,90000.0,,CASA EN ROLDAN - TIERRA DE SUEÑOS 3 - SECTOR A - A ESTRENAR
yk5a9BYD8/hp5ECs7r33nQ==,Propiedad,2019-05-03,9999-12-31,2019-05-03,,,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Ramos Mejía,,,4.0,,1.0,20.0,90.0,144000.0,,PH en Venta Ramos Mejia / La Matanza (A001 3749)
ykKrFAlRMylHoDcpCfdPEA==,Propiedad,2020-03-01,2020-04-03,2020-03-01,-34.627278590900005,-58.4286722343,Argentina,Capital Federal,Caballito,,,,4.0,3.0,2.0,,1.0,210000.0,,PH de 4 Ambientes con Patio y Terraza Propia
